Age year	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
25	0.356226041731403	0.326000297571909	0.34503920585744	0.360316041374502	0.316049053229819	0.334062436173976	0.357595161849127	0.356254205631465	0.354618115373028	0.352627535389664	0.350213935810415	0.347299563916335	0.349572467661951	0.340757221821906	0.334571441219202	0.355127863592565	0.339359953270747	0.324366201943665	0.319658332340581	0.3183963099178	0.303833745094787	0.309469482864321	0.252279776782822	0.256450090811502	0.242930896684687	0.213651465535305	0.210568998031099	0.204027879934751	0.189588085379598	0.180279792227204	0.185815261383283	0.165193759457141	0.147782488269205	0.153332965523272	0.113528849069203	0.145126959561012	0.1243295097934	0.139434142204588	0.137307776939845	0.135560536082931	0.134128878600135	0.132958493557992	0.132003477765688	0.131225373159506	0.121803898184386	0.126460692592931	0.131475638076663	0.133381383946062	0.1428716672721	0.139420940080764	0.147496578745024	0.140308082210816	0.145763930450578
26	0.3549365739287	0.32093427942019	0.348941531400639	0.366311710671987	0.322640085755563	0.34246045276026	0.363724402635727	0.362448806321022	0.36089203905891	0.358997340138405	0.356699065930757	0.353922576337244	0.354874339583887	0.351218255056209	0.340164917497299	0.363730178637843	0.344318797817402	0.330599916521823	0.328138800860863	0.331214289354295	0.318320575368864	0.324858036420281	0.267737320641204	0.268519909096057	0.255374062753826	0.22570019342501	0.22439025581437	0.216071338886399	0.200943025078724	0.191702418854489	0.196734100682328	0.174930996160592	0.156455901871399	0.164770042117683	0.125910415920311	0.156509518208895	0.134523122501305	0.150761143913906	0.148610150408045	0.146841055497817	0.145390388825205	0.144203717560636	0.143234910434836	0.142445233118977	0.133797423467762	0.138927746170439	0.142979189473622	0.144152786626094	0.153392828774426	0.148777693424661	0.156382315161985	0.152666666499788	0.157653264712424
27	0.347872140136396	0.312446658873417	0.348136112982549	0.366203256151313	0.324123359649149	0.345227350059855	0.363765032052387	0.362562570326417	0.36109472818639	0.359307765884729	0.357139447754703	0.354518882167764	0.354964131153425	0.356817455296303	0.340471721464925	0.364867482111864	0.343366942999573	0.330338167994021	0.32986617843388	0.337003620404566	0.326273325279076	0.333164231022589	0.276650502024859	0.274692737886144	0.26273898600247	0.2332596264187	0.233335402834407	0.223626099825432	0.207944751711597	0.198920217583436	0.203560757167706	0.180947157269332	0.161828153178245	0.172469544748263	0.135303560618395	0.164308521391337	0.141462466812379	0.158614820186289	0.156481096471946	0.154724874136782	0.153283855020275	0.152104460719753	0.151141180652203	0.150355731222816	0.14290652886377	0.148393268883673	0.151255088405989	0.151619020743786	0.160333587550225	0.1546721359511	0.161560542760173	0.161425058432066	0.165698358683947
28	0.336654122735783	0.301964282062851	0.343307042687159	0.361310452669107	0.321232557511037	0.343083541750334	0.359025162806155	0.357897841049237	0.35652146765701	0.354845480931641	0.35281125961087	0.350351931701577	0.351066745583262	0.358246509077466	0.336721203795565	0.360217076350952	0.338138633850914	0.325122523121803	0.32635450502663	0.336871093281097	0.3284942324668	0.335234561451603	0.279827719052352	0.275922288445588	0.265788024123133	0.236872034501698	0.237884970063962	0.227180402019098	0.21107741147103	0.202367067978535	0.206729785762853	0.183626294783401	0.164242039210458	0.176719081512978	0.141618193015143	0.16876708061267	0.145264318744218	0.16320751184237	0.161121491843822	0.159403462823815	0.157993051449862	0.15683821284379	0.155894655500667	0.155125064458954	0.149105444726772	0.154831041951315	0.156440283973036	0.156010120442336	0.164042677882093	0.157511352714147	0.163554376939047	0.166791897364354	0.170208163523809
29	0.322746110095477	0.290593042948882	0.335164633105678	0.35289286179301	0.314761204517544	0.336848935270504	0.3507564418306	0.349702341799332	0.34841517300839	0.346847520783849	0.344944362304658	0.342642856411046	0.344287504081444	0.356191883277461	0.330036914082772	0.351428660824072	0.330098160609479	0.316426753676881	0.319092952177487	0.332046578294937	0.325953367972126	0.33213354871047	0.278354272796294	0.273285731324932	0.265381778272259	0.237203396867796	0.238714227023573	0.227372827899946	0.210977359759376	0.202637787780743	0.206815883936278	0.183488484931072	0.16415814471049	0.177989065717253	0.145030934593734	0.170316571755367	0.146254453439671	0.164943223510319	0.162925059638584	0.161262073576888	0.159896274102106	0.158777573515787	0.157863279943908	0.157117381192858	0.152568977787197	0.15842409778462	0.158860469998955	0.157727001111213	0.165027944550248	0.15783468982809	0.163003579154975	0.169191720132706	0.171701773867844
30	0.307350625255015	0.279104359558887	0.324384198576272	0.342027249654409	0.305475672308589	0.327344090399545	0.340030855196925	0.339045682173158	0.337842535765098	0.336376999053262	0.334597490416243	0.33244504344678	0.335519915056398	0.351253777492424	0.32133620632793	0.339924591130887	0.320412410477118	0.305495536386489	0.309361258607397	0.323687517459811	0.319615636847247	0.324944587063793	0.273359792788419	0.267799111780264	0.262328473915791	0.234913835141004	0.236538759116816	0.224860294717837	0.208299231566286	0.200355895135914	0.204414943750705	0.181080964536881	0.162058901916182	0.176807467117873	0.145882413289302	0.169454206489126	0.144863099505016	0.16429736268157	0.162358964449721	0.160761057461728	0.159448264003605	0.158372679337341	0.157493421303046	0.156775969629366	0.153581639515168	0.15946980800173	0.158918453551723	0.157224199055338	0.163826775361646	0.156190071218401	0.160531692097707	0.169128631784935	0.170760470835836
31	0.291374954917829	0.267962122805764	0.311566683482296	0.329548893836221	0.294058257606528	0.315321828381123	0.327681297102617	0.326759564903616	0.325633789834637	0.324262340057812	0.322596840796845	0.320581951069087	0.325407900688609	0.343899166844088	0.311287782287748	0.326804216412455	0.309907340388598	0.293272887359558	0.29814139000846	0.312761551786206	0.310327110887233	0.314636217217613	0.265860112980729	0.260306207541556	0.257290907820745	0.23057164073588	0.232006088865572	0.220227524979389	0.203624729684793	0.196081955428226	0.200061815410469	0.176901903408759	0.158381683329459	0.173668239783757	0.144582009638704	0.166651949454444	0.141539675400183	0.161726142681364	0.159873429321533	0.158345671128815	0.157090178489326	0.156061316265294	0.155220101022224	0.154533589785612	0.15246022433504	0.158299038496068	0.157008092860858	0.154924042552338	0.160916477689966	0.153051828458195	0.156662604335926	0.167083502945643	0.167920876870875
32	0.275442033438782	0.257365886913835	0.297218278671924	0.316038883079122	0.281076893900661	0.301427375104954	0.314288188958658	0.313424069799307	0.31236858680536	0.311082657355224	0.309520849415059	0.307631159965129	0.31434462591687	0.334442935863899	0.300308519333632	0.312822417219775	0.299076011190081	0.280392448628544	0.286097424841073	0.299994440979337	0.298755534045606	0.301989877365672	0.256670691998794	0.251428285759164	0.250741571984275	0.224606936284642	0.22563289887927	0.213936082059328	0.197412033977684	0.190261526839505	0.194183488873665	0.171356307044271	0.153480300228744	0.168975760480762	0.141534505607789	0.162300148271362	0.136694394371747	0.157609736501618	0.155844730811411	0.154388949526123	0.153192369253304	0.152211624091253	0.151409641700326	0.150755075457573	0.149498453767301	0.15521836923825	0.153458990167308	0.15116473319881	0.156663895904236	0.148776990823797	0.151780063248307	0.16344956479807	0.163611613464604
33	0.259925417227141	0.247295678235252	0.281744957873469	0.301840316696225	0.266975733238956	0.28618188251007	0.300195133341442	0.299383038522215	0.298391052000219	0.297182409401303	0.295714360885508	0.293937954865863	0.302493253140965	0.323050789911871	0.288583839586295	0.298412543218361	0.288112322434929	0.26720352686693	0.273596058228559	0.285864786324135	0.285373197861108	0.287576196039577	0.246375316385386	0.241556508264214	0.242952607755467	0.21729620465207	0.217779460181643	0.206305123190863	0.189977461337442	0.183205079357647	0.187080905802258	0.164738156062883	0.147609642115033	0.163019996009047	0.137092691472777	0.156681364537093	0.130666049342586	0.152225219029167	0.150547818084362	0.149164063279105	0.148026527925181	0.147094070681421	0.146331502757262	0.145709057817335	0.144934999813536	0.15047673141441	0.14850941216517	0.146177541220879	0.151306526927261	0.143591063963455	0.146118273071901	0.158501691168106	0.158126120285667
34	0.244993349490512	0.237552181054069	0.265457782706034	0.287090599916275	0.252080546227311	0.269983224576548	0.285540812833107	0.284775777413796	0.283841247609904	0.282702570260664	0.281319443445256	0.279645708277087	0.289820257701091	0.309759049363234	0.276101312491981	0.283731441172899	0.276954519379725	0.253814131093979	0.260747404725639	0.27062884008997	0.270469864973074	0.271765390257915	0.235331313638639	0.230870751765139	0.234009081182411	0.20876894345673	0.208651213122332	0.197515121429059	0.181500108749796	0.175091021512997	0.178931605324474	0.15723163853077	0.140927178220773	0.155974868685144	0.131533601573947	0.149967336507164	0.123711176446339	0.145742564782417	0.144151952329038	0.142839664629073	0.141760792220252	0.140876362577532	0.140153031801563	0.139562587271713	0.138942352136127	0.144253791863162	0.142302034941431	0.140086325426636	0.144956382476466	0.137594138523537	0.139772586444777	0.152391576605847	0.151621853177088
