nQx	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
0	0.1263	0.11018		0.0985	0.09378	0.08285	0.08027		0.07657		0.06198		0.0554		0.053		0.0533	0.0515	0.0517	0.0522		0.036	0.0386	0.0353	0.0359	0.0333	0.0303	0.0285	0.02818	0.02527	0.0244	0.0239	0.0229	0.0222	0.0216	0.0212	0.0212	0.0204	0.0207	0.0207
1	0.0569989698981344	0.0452930328790537		0.05579589572934	0.0527245039835801	0.0481055443493431	0.02305		0.0209003389536835		0.013901622566683		0.0103006563624815		0.00918690601900739		0.00940107742685117	0.00938323668950975	0.00970157123273226	0.00896813673770838		0.0073	0.0064	0.0062	0.0063	0.0055	0.0052	0.0051	0.00490831635488053	0.00465770008104808	0.0046	0.0043	0.0043	0.0039	0.00371013900245298	0.0035	0.0037	0.0035	0.0035	0.003
5	0.0173443379050856	0.0188219507027332		0.0114891518737673	0.0104491868971623	0.00989656712827738	0.01306		0.0112926238483404		0.00860559147224805		0.00699562506016879		0.00500905893637429		0.00533162721262529	0.00510855683269476	0.00479182195719306	0.0046843394016821		0.0037	0.0031	0.0033	0.0034	0.003	0.003	0.0025	0.00266790755390104	0.00248404951607417	0.0024	0.0023	0.0022	0.0021	0.0020209895667696	0.002	0.002	0.0021	0.0019	0.0017
10	0.0111658699867838	0.0113850398896287		0.00682995201216325	0.00647462535463289	0.00608521616400005	0.00752		0.00741677107571147		0.00672831563106584		0.00499822261480293		0.00396315338474722		0.00364493996569468	0.00363714163457424	0.00363791996576075	0.00374371590544443		0.0027	0.0023	0.0024	0.0024	0.0022	0.0022	0.0019	0.00207367777121113	0.00187025976978239	0.0019	0.0018	0.0017	0.0017	0.00159333881578947	0.0015	0.0017	0.0018	0.0016	0.0016
15	0.0130656906953795	0.0134577579302478		0.0102496023345652	0.00955010249179473	0.00890435673297406	0.00707		0.00668327153467299		0.00678487127408465		0.00549974016975576		0.00483923002473384		0.00462664084355498	0.00429461026411853	0.00493986254295533	0.004723564143854		0.0035	0.0031	0.0028	0.0028	0.0028	0.0029	0.0023	0.00217149625442871	0.0020497530979223	0.0023	0.0022	0.0022	0.0022	0.00203861003861004	0.0025	0.0021	0.0022	0.0023	0.002
20	0.0161749629798382	0.0153757211213206		0.0143917057373484	0.0135540907513967	0.0126250763376709	0.00975		0.00915630389398203		0.00787027313827141		0.00599825821902896		0.00529500756429652		0.00562101394443844	0.00560707353892603	0.00669112885819124	0.00625606730665516		0.0043	0.0041	0.0037	0.0035	0.0035	0.0036	0.003	0.00294675024469481	0.00285272668803618	0.0027	0.0027	0.0026	0.0024	0.00221816418541789	0.0025	0.0023	0.0025	0.0025	0.0024
25	0.0212522352154169	0.0179894312091646		0.0164163550542512	0.0154260350724005	0.0144993041761326	0.00995		0.00959589597957151		0.00871260654002563		0.00750199870768489		0.00630092341118957		0.006631155560387	0.00661461721969204	0.00738728951656708	0.00683890577507599		0.0053	0.0049	0.0046	0.0044	0.0042	0.0045	0.004	0.00366560492924651	0.0036411302068162	0.0033	0.0034	0.0035	0.0032	0.00300893374141782	0.003	0.0031	0.003	0.0029	0.0028
30	0.0187168938368318	0.0215629651303319		0.0195572507665844	0.0178848569950484	0.0164626934125087	0.01203		0.012128429547583		0.00990188034572286		0.00950079449152542		0.00885633063634376		0.00842635149923397	0.00840519593930794	0.00831873905429072	0.00863482347797574		0.0068	0.0063	0.0059	0.0057	0.0052	0.0057	0.0051	0.00493689992033877	0.00497003362081567	0.0045	0.0047	0.0047	0.0046	0.0042832992812769	0.0042	0.0042	0.0039	0.0039	0.004
35	0.0181362765715204	0.02513261909715		0.0243970657411292	0.0234655228635212	0.0219536139403608	0.01538		0.0152267034947684		0.0149843345593243		0.0129004946303641		0.0112520683949255		0.0123606665930913	0.011889035667107	0.0121412803532009	0.0120176405733186		0.0096	0.009	0.0089	0.0085	0.0078	0.008	0.0072	0.00712081151970337	0.00665281537912653	0.0064	0.0068	0.0066	0.0066	0.00613490542454795	0.0065	0.0064	0.0059	0.0057	0.0055
40	0.0210905419969169	0.0269408767788314		0.0240689097969715	0.0234257606308516	0.022835347109823	0.01867		0.017149784290655		0.0159152722076246		0.0163984380290274		0.014838781657927		0.0167616493462957	0.0170454545454545	0.0178750977544408	0.0171855819662984		0.0122	0.0123	0.0117	0.0113	0.011	0.011	0.0112	0.0105138079930403	0.0100460576354263	0.0094	0.0096	0.0092	0.0086	0.00844695500896048	0.0091	0.0085	0.0085	0.0084	0.0081
